"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t13_deveExcluirDocPorDentroDoProcessos","0","0","2","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t12_verificarHistorico","0","2","0","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t04_deveEditarPorDentroProcesso","0","0","2","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t06_deveFazerDownloadDocumentos","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t02_deveAdicionarProcessoNovo","0","0","2","0","0"
"","","T_1deveIncuirProcessiComSucesso","0","0","1","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t03_deveBuscarDocumentos","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t05_deveBuscarProcessos","0","0","2","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t09_deveInserirDocumentoPorDentroDoProcesso","0","0","2","0","0"
"","","T_3DeveValidarCampoCustomerIdObrigatorio","1","0","0","0","0"
"","","T_6deveValidarOsCamposDoProcessos","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t14_deveExcluirProcessos","0","0","2","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t03_deveEditarProcesso","0","0","2","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t06_deveFazerDownloandDoProcessos","0","0","2","0","0"
"","","deveCriarEmpresa","0","0","2","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t07_deveExcluirDocumentos","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t08_deveAdicionarMembrosNoProcesso","0","0","2","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t05_deveInserirArmazenamentoFisico","0","0","1","0","0"
"","","T_7devoRemoverUsuario","0","0","1","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t01_deveAdicionarDocumentos","0","0","1","0","0"
"","","T_2DeveValidarCampoNameObrigatorio","0","0","1","0","0"
"","","T_5DeveValidarCampoUserObrigatorio","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","mattos2","0","0","2","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t07_deveAdicionarLocalDeArmazenamento","0","0","2","0","0"
"","","T_4DeveValidarCampoStatusObrigatorio","0","0","1","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t02_deveEditarDocumentos","0","0","1","0","0"
"###EPIC DEVE ADD PROCESSOS COM SUCESSO##","### FEATURE PROCESSO MATTOS","t11_deveEditarDocumentoPorDentroProcesso","2","0","0","0","0"
"###EPIC DEVE ADD DOCUMENTOS COM SUCESSO##","### FEATURE MATTOS","t04_deveVisualizarDocumentosVerificarSeFoiaAbertoNapágina","0","0","1","0","0"
